127.0.0.1, 2019-04-10 14:38:00, GET, /admin/default/index, HTTP/1.1, 303, 0.045000
127.0.0.1, 2019-04-10 14:38:02, GET, /admin/default/site, HTTP/1.1, 200, 1.567000
127.0.0.1, 2019-04-10 14:38:18, GET, /test/firstTest/yass, HTTP/1.1, 200, 0.191000
127.0.0.1, 2019-04-10 14:38:29, GET, /admin/default/todolist.load, HTTP/1.1, 200, 5.281000
127.0.0.1, 2019-04-10 14:38:32, GET, /test/appadmin/hooks, HTTP/1.1, 200, 8.495000
127.0.0.1, 2019-04-10 14:39:18, POST, /admin/default/edit/test/controllers/firstTest.py, HTTP/1.1, 200, 1.149000
127.0.0.1, 2019-04-10 14:39:29, GET, /admin/default/todolist.load, HTTP/1.1, 200, 5.000000
127.0.0.1, 2019-04-10 14:39:34, GET, /test/appadmin/hooks, HTTP/1.1, 200, 9.741000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/firstTest/yass, HTTP/1.1, 200, 0.189000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/js/jquery.js, HTTP/1.1, 304, 0.020000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.022000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/js/calendar.js, HTTP/1.1, 304, 0.023000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.023000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/css/calendar.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2019-04-10 14:39:37, GET, /test/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-04-10 14:40:23, GET, /admin/default/index, HTTP/1.1, 303, 0.028000
127.0.0.1, 2019-04-10 14:40:26, GET, /admin/default/site, HTTP/1.1, 200, 3.284000
127.0.0.1, 2019-04-10 14:40:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 4.915000
127.0.0.1, 2019-04-10 14:40:29, GET, /test/appadmin/hooks, HTTP/1.1, 200, 5.217000
127.0.0.1, 2019-04-10 14:40:36, GET, /admin/default/design/test, HTTP/1.1, 200, 2.508000
127.0.0.1, 2019-04-10 14:46:19, GET, /admin/default/site, HTTP/1.1, 200, 1.440000
127.0.0.1, 2019-04-10 14:46:28, POST, /admin/default/site, HTTP/1.1, 303, 2.954000
127.0.0.1, 2019-04-10 14:46:32, GET, /admin/default/design/app1, HTTP/1.1, 200, 3.531000
127.0.0.1, 2019-04-10 14:46:56, POST, /admin/default/create_file, HTTP/1.1, 303, 1.246000
127.0.0.1, 2019-04-10 14:46:58, GET, /admin/default/design/app1, HTTP/1.1, 200, 2.452000
127.0.0.1, 2019-04-10 14:47:12, GET, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 1.432000
127.0.0.1, 2019-04-10 14:47:17, GET, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 4.145000
127.0.0.1, 2019-04-10 14:47:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 7.419000
